"meanImp" "medianImp" "minImp" "maxImp" "normHits" "decision"
"adjqty" 17.4723180366484 17.5015186961892 15.6965067497899 19.8193637338269 1 "Confirmed"
"avgrev" 16.5779306941289 16.5582369747507 14.7061127178793 18.4515442412452 1 "Confirmed"
"avgmou" 16.020672776975 15.9783087379408 14.3225493717846 18.1311293298846 1 "Confirmed"
"avgqty" 17.8346955416564 17.7058969461961 16.2917552622419 20.7599528278074 1 "Confirmed"
"avg3mou" 21.5439361406935 21.3897920490447 19.4925028128806 23.7538297027332 1 "Confirmed"
"avg3qty" 20.7672087632354 20.5905699161794 17.8919292190092 23.6133201841719 1 "Confirmed"
"avg3rev" 14.3736197269993 14.348389664067 12.8427128090601 16.4865956390629 1 "Confirmed"
"avg6mou" 14.1966672324377 14.2636795325503 12.2960313632266 16.0821670307858 1 "Confirmed"
"avg6qty" 13.5835357500998 13.4502768435687 12.2068599096258 15.2323286184133 1 "Confirmed"
"avg6rev" 13.1097487060186 13.1643626708156 11.7719717291058 14.6585971861246 1 "Confirmed"
"csa" 0.766959756121603 0.676526429846972 -0.787463373902413 2.38034022870007 0 "Rejected"
"area" 2.01726469923002 2.02730086646619 0.124340664418804 4.41864758244678 0.315789473684211 "Confirmed"
"dualband" 5.18031083380174 5.37066480030797 3.40681887876197 7.37815658488132 1 "Confirmed"
"refurb_new" 9.7343064985906 9.62175591606562 7.77544215777683 11.5612242373849 1 "Confirmed"
"phones" 11.0253448208803 11.1490532438969 9.66709630710547 11.9105531541254 1 "Confirmed"
"models" 12.3983871446708 12.5805958521431 10.6546205703298 13.783815407276 1 "Confirmed"
"hnd_webcap" 17.3420572360232 17.53773683094 15.7086349227855 18.9034004399813 1 "Confirmed"
"eqpdays" 44.0683879410389 44.0358630237279 41.9625421182814 46.0311981268176 1 "Confirmed"
